vertex,label
10,left_lower_lobe_7
3,4r_lymph_node_progression_1
38,4r_lymph_node_progression_1
4,4r_lymph_node_progression_1
5,4r_lymph_node_progression_2
21,4r_lymph_node_progression_2
24,left_lower_lobe_7
7_0,4r_lymph_node_progression_1
12,left_ventricle_1
27_0,left_hilar_lymph_node_3
1,right_upper_lobe_primary_1
30,right_upper_lobe_primary_1
28,left_lower_lobe_7
35,left_lower_lobe_7
14,left_lower_lobe_7
34_0,4r_lymph_node_progression_1
34_1,left_ventricle_1
2_0,left_ventricle_1
2_1,left_lower_lobe_7
7_1,4r_lymph_node_relapse_1
13_0,4r_lymph_node_progression_1
27_1,pericardial_lymph_node
22_0,left_lower_lobe_pleura
23_0,pericardial_lymph_node
22_1,left_lower_lobe_21
16,left_lower_lobe_pleura
31_0,left_lower_lobe_21
23_1,left_supraclavicular_lymph_node_1
25,pericardial_lymph_node
23_2,left_supraclavicular_lymph_node_3
23_3,left_supraclavicular_lymph_node_4
23_4,left_ventricle_1
23_5,left_supraclavicular_lymph_node_2
23_6,right_hilar_lymph_node_4
23_7,left_supraclavicular_lymph_node_5
9,liver_right_subcapsular_1
15,liver_right_subcapsular_2
18,liver_right_lobe_9
20,liver_left_subcapsular_2
36,liver_left_subcapsular_1
37,liver_right_lobe_8
29,left_supraclavicular_lymph_node_2
31_1,left_lower_lobe_7
13_1,4r_lymph_node_relapse_1
dummy_root,right_upper_lobe_primary_1
